ORDINAL,EXACT_SIGNATURE,TARGET_SECURITY_MODE,TARGET_MODE_RATIONALE,CALLER_AUTHORITY_SUFFICIENT,PRIVILEGED_BOUNDARY_REQUIRED,BLOCKER_STATUS,RESIDUAL_EVIDENCE
004,"aprovar_rejeitar_mesa(uuid,text,text)",NOT_DETERMINED,"Privileged Mesa UPDATE exists, but p_simulacao_id tenant/ownership authorization before bypassed DML is not proven.",NOT_DETERMINED,NOT_PROVEN,REMAINS,Exact object binding is missing.
010,audit_trail_actor_context(),INVOKER,Intended internal caller can read its actor profile under caller authority; no independent elevation is required.,YES,NO,NONE,"Direct client EXECUTE remains an ACL/class residual, not a mode reason."
017,"avaliar_lista(uuid,integer,text,uuid)",INVOKER,Wrapper has no local privileged DML; mutation authority remains in avaliar_lote.,YES,NO,NONE,Nested callee authority must remain bounded.
018,"avaliar_lote(uuid,integer,text)",DEFINER,Caller lacks the required direct mutation authority; routine binds actor/object and performs the evaluation state transition as one protected command.,NO,YES,NONE,Runtime/concurrency assurance remains separate.
019,"corretor_tem_acesso_lista(uuid,uuid,uuid,uuid)",INVOKER,Required protected reads are available under caller/RLS composition; no local escape is necessary.,YES,NO,NONE,Internal-helper direct reachability remains ACL work.
031,"gerenciar_lista(uuid,text,text)",NOT_DETERMINED,"Mutation spans listas/leads/logs, but is_gestor() does not prove authorization over supplied p_lista_id; caller ACL is also contradictory.",NOT_DETERMINED,NOT_PROVEN,REMAINS,Need tenant/object binding and canonical caller/EXECUTE decision.
033,get_contagens_corretor(),INVOKER,Authenticated SELECT + RLS supplies the intended broker-scoped read authority.,YES,NO,NONE,Runtime assurance only.
034,get_corretores_time(uuid),INVOKER,Time/company visibility can remain governed by caller RLS; no extra read privilege is required.,YES,NO,NONE,None mode-blocking.
035,"get_dashboard_gestor(date,date,uuid)",INVOKER,RLS plus validated hierarchy supplies intended gestor/team scope.,YES,NO,NONE,Runtime effectiveness untested.
036,get_dashboard_master(),NOT_DETERMINED,INVOKER would tenant-scope the reads; evidence does not prove whether product intent is tenant-scoped gestor or global/master visibility.,NOT_DETERMINED,NOT_PROVEN,REMAINS,Product/global-vs-tenant authority decision required.
037,get_dashboard_stats(uuid),INVOKER,Caller table privileges and RLS supply tenant/object scope.,YES,NO,NONE,None mode-blocking.
038,get_empreendimentos_mesa(uuid),DEFINER,Authenticated caller lacks required direct Mesa inventory reads; body derives/binds the requested company before returning bounded projection.,NO,YES,NONE,ACL hardening remains separate.
039,get_empresa_mesa_config(uuid),DEFINER,Required configuration tables are not directly available to caller; body establishes tenant authority.,NO,YES,NONE,Runtime assurance remains.
040,get_funil_stats(uuid),INVOKER,Existing SELECT/RLS composition supplies the intended tenant-scoped funnel view.,YES,NO,NONE,None mode-blocking.
041,get_funil_stats_corretor(),INVOKER,Broker-owned read authority is already supplied by caller/RLS.,YES,NO,NONE,None.
042,"get_historico_mesas(uuid,uuid,uuid,text,text,integer,integer)",DEFINER,Mesa history tables are not directly readable by authenticated caller; body provides explicit tenant/object-bounded projection.,NO,YES,NONE,Runtime effectiveness unproven.
043,"get_kpi_operacional(timestamptz,timestamptz)",INVOKER,Required LeadOps reads are available under RLS; absence of a current app caller does not itself require elevation.,YES,NO,NONE,Lifecycle/reachability remains residual.
044,get_listas_ativas(),INVOKER,"Live body performs local reads of corretores/listas/times/leads, all intended to remain tenant/hierarchy scoped; privileged root derivation already lives in lower helpers. No separate wrapper elevation is necessary.",YES,NO,NONE,Lower core helpers remain privileged.
045,get_mesa_cliente_desconto_politica(uuid),DEFINER,Live body reads protected empreendimento/company/policy relations unavailable as ordinary caller reads and explicitly verifies tenant before policy disclosure.,NO,YES,NONE,Direct client EXECUTE is an ACL residual.
046,get_meus_times(),INVOKER,"Caller/RLS hierarchy is sufficient for ""my teams"" semantics.",YES,NO,NONE,None mode-blocking.
047,get_stats_horario(),NOT_DETERMINED,Gestor/root gate precedes global lead aggregation; evidence does not establish whether gestor is intentionally cross-tenant.,NOT_DETERMINED,NOT_PROVEN,REMAINS,Need product authority distinguishing root-global from tenant-gestor scope.
048,get_unidades_mesa(uuid),DEFINER,Caller lacks direct access to required Mesa inventory/enrichment relations; body provides empreendimento/tenant-bound projection.,NO,YES,NONE,Anonymous EXECUTE residual is separate.
054,is_admin_global(),INVOKER,Live body is only SELECT is_root(); all required privilege is already isolated in is_root. A second DEFINER layer adds no independent authority requirement.,YES,NO,NONE,Callee is_root remains privileged.
055,is_admin_local(),DEFINER,It is used from policies on the protected hierarchy it reads; INVOKER would create policy/self-authority recursion.,NO,YES,NONE,Direct client EXECUTE should not be inferred as required.
056,is_gestor(),DEFINER,Same protected corretores policy recursion/identity derivation requirement.,NO,YES,NONE,ACL residual only.
057,is_root(),DEFINER,Reads root/admin identity relations while participating transitively in their RLS graph; ordinary caller cannot safely derive the same authority through RLS.,NO,YES,NONE,Runtime assurance remains.
058,lead_tem_acao_real(uuid),INVOKER,Required lead/log reads remain appropriately caller/RLS scoped.,YES,NO,NONE,Internal-helper ACL residual.
059,leads_email_tab(),INVOKER,Existing caller SELECT/RLS supplies broker-scoped result; missing active caller does not prove elevation need.,YES,NO,NONE,Caller lifecycle unresolved.
061,listar_funil_estagios(),INVOKER,RLS handles shared/tenant funnel-stage visibility.,YES,NO,NONE,None.
062,listar_listas_corretor(),INVOKER,Caller/RLS plus non-elevated helper composition supplies list visibility.,YES,NO,NONE,None.
