M2_02_ORDINAL,EXACT_SIGNATURE,LIVE_EXISTENCE,SECURITY_MODE_CURRENT,OWNER_CURRENT,SEARCH_PATH_CURRENT,PUBLIC_EXECUTE,ANON_EXECUTE,AUTHENTICATED_EXECUTE,SERVICE_ROLE_EXECUTE,M2_02_PROVENANCE,CANONICAL_CALLER,CALLER_EVIDENCE,LIFECYCLE_STATE,STATIC_READS,STATIC_WRITES,SIDE_EFFECT_CLASS,ACTOR_DERIVATION,TENANT_DERIVATION,ROLE_PERMISSION_DERIVATION,OBJECT_AUTHORITY_BASIS,TRANSITIVE_CALLEES,TRANSITIVE_PRIVILEGE_EXPANSION,B1_TARGET_AUTHORITY_CLASS,DEFINER_ELEVATION_REASON,DEFINER_JUSTIFICATION_STATUS,TARGET_SECURITY_MODE,TARGET_EXECUTE_PRINCIPALS,CALLER_ACL_CONTRADICTION,OWNER_TARGET_STATUS,SEARCH_PATH_TARGET_STATUS,RLS_OR_DIRECT_DML_DEPENDENCY,M2_04C_DEPENDENCY,TRIGGER_DEPENDENCY,M2_04D_DEPENDENCY,APPSEC_ASSURANCE_REQUIRED,RUNTIME_ASSURANCE_REQUIRED,FINDING_CLASS,RESIDUAL_RISK,PROOF_NEEDED
003,"public.alterar_role_corretor(p_corretor_id uuid, p_novo_role text)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
004,"public.aprovar_rejeitar_mesa(p_simulacao_id uuid, p_acao text, p_justificativa text)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
005,"public.atualizar_feedback(p_lead_id uuid, p_feedback text, p_observacao text)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,runtime/concurrency assurance
006,"public.atualizar_perfil_corretor(p_corretor_id uuid, p_apelido text, p_telefone text, p_empresa text, p_lista_preferencial uuid)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,runtime/concurrency assurance
007,"public.atualizar_status_corretor(p_corretor_id uuid, p_ativo boolean, p_apto_para_receber boolean)",YES,DEFINER,postgres,pg_catalog,false,false,true,false,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,YES,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
009,"public.atualizar_time_corretor(p_corretor_id uuid, p_time_id uuid)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
010,public.audit_trail_actor_context(),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,audit trigger context,YES,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
017,"public.avaliar_lista(p_lista_id uuid, p_nota integer, p_comentario text, p_lote_id uuid)",YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,NO,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,avaliar_lote,YES/REVIEW,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
018,"public.avaliar_lote(p_lote_id uuid, p_nota integer, p_comentario text)",YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof; runtime/concurrency assurance
019,"public.corretor_tem_acesso_lista(p_lista_id uuid, p_corretor_id uuid, p_empresa_id uuid, p_time_id uuid)",YES,DEFINER,postgres,public,false,false,false,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
